투자사명,투자단계,log_투자유치금액
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,5,4.51085950651685
프라이머,1,2.833213344056216
프라이머,5,4.51085950651685
제이비인베스트먼트,3,4.465908118654584
제이비인베스트먼트,5,4.51085950651685
은행권청년창업재단,1,2.833213344056216
은행권청년창업재단,5,4.51085950651685
더웰스인베스트먼트,3,4.465908118654584
더웰스인베스트먼트,5,4.51085950651685
더웰스인베스트먼트,5,4.189654742026425
유니온투자파트너스,3,4.465908118654584
유니온투자파트너스,3,4.465908118654584
유니온투자파트너스,5,4.51085950651685
비에이파트너스,5,4.189654742026425
비에이파트너스,5,4.51085950651685
비하이인베스트먼트,3,4.465908118654584
비하이인베스트먼트,5,4.51085950651685
케이클라비스인베스트먼트,3,4.465908118654584
케이클라비스인베스트먼트,5,4.51085950651685
디에이밸류인베스트먼트,5,4.51085950651685
디에이밸류인베스트먼트,5,4.189654742026425
비에스케이인베스트먼트,5,4.51085950651685
비에스케이인베스트먼트,5,4.189654742026425
신한대체투자운용,3,3.044522437723423
신한대체투자운용,5,4.51085950651685
신한대체투자운용,5,4.189654742026425
네오플라이,1,2.833213344056216
네오플라이,5,4.51085950651685
윤민창의투자재단,1,0.4054651081081644
스트롱벤처스,2,3.295836866004329
프라이머,2,3.295836866004329
프라이머사제파트너스,2,3.295836866004329
네오플라이,1,2.833213344056216
윤민창의투자재단,1,0.4054651081081644
롯데벤처스,3,5.442417710521793
퓨처플레이,1,2.833213344056216
퓨처플레이,2,2.70805020110221
퓨처플레이,3,5.442417710521793
아이엠엠인베스트먼트,3,5.442417710521793
케이비인베스트먼트,3,5.442417710521793
신한캐피탈,2,2.70805020110221
신한캐피탈,3,5.442417710521793
만도,1,2.833213344056216
시그나이트파트너스,3,5.442417710521793
캡스톤파트너스,2,2.70805020110221
캡스톤파트너스,3,5.442417710521793
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,2,2.87919845729804
블루포인트파트너스,1,2.833213344056216
블루포인트파트너스,2,2.5494451709255714
블루포인트파트너스,2,2.87919845729804
브이엔티지,2,2.5494451709255714
브이엔티지,2,2.87919845729804
에이치지이니셔티브,2,2.87919845729804
에이치지이니셔티브,2,2.5494451709255714
윤민창의투자재단,1,0.4054651081081644
윤민창의투자재단,1,0.4054651081081644
스파크랩,1,2.833213344056216
스파크랩,1,0.4054651081081644
윤민창의투자재단,1,2.833213344056216
해시드,2,2.8903717578961645
스프링캠프,1,2.833213344056216
스프링캠프,2,2.8903717578961645
윤민창의투자재단,1,2.833213344056216
블루포인트파트너스,1,0.6931471805599453
씨엔티테크,1,2.833213344056216
더인벤션랩,1,0.6931471805599453
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,5,5.420534999272286
인포뱅크,1,0.6931471805599453
인포뱅크,5,5.420534999272286
위벤처스,5,2.3978952727983707
위벤처스,5,5.420534999272286
프라이머,1,2.833213344056216
프라이머,5,5.420534999272286
아이엠엠인베스트먼트,3,3.784189633918261
아이엠엠인베스트먼트,5,4.02535169073515
아이엠엠인베스트먼트,5,5.420534999272286
두나무앤파트너스,5,4.02535169073515
두나무앤파트너스,5,5.420534999272286
소프트뱅크벤처스,5,5.420534999272286
소프트뱅크벤처스,5,4.394449154672439
소프트뱅크벤처스,5,3.258096538021482
넥스트지인베스트먼트,5,5.420534999272286
넥스트지인베스트먼트,3,3.784189633918261
캡스톤파트너스,5,5.420534999272286
캡스톤파트너스,5,4.02535169073515
캡스톤파트너스,2,1.9459101490553128
아이디벤처스,3,3.784189633918261
아이디벤처스,5,5.420534999272286
씨제이이엔엠,5,4.394449154672439
씨제이이엔엠,5,5.420534999272286
(구)넥스트지인베스트먼트,5,4.02535169073515
(구)넥스트지인베스트먼트,5,5.420534999272286
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,3,4.07753744390572
스마일게이트인베스트먼트,3,3.9318256327243257
스마일게이트인베스트먼트,3,4.07753744390572
제이비인베스트먼트,3,4.07753744390572
제이비인베스트먼트,3,3.9318256327243257
신용보증기금,3,4.07753744390572
신용보증기금,1,1.308332819650179
뉴패러다임인베스트먼트,2,3.295836866004329
뉴패러다임인베스트먼트,3,3.9318256327243257
뉴패러다임인베스트먼트,3,4.07753744390572
에이치지이니셔티브,3,3.9318256327243257
에이치지이니셔티브,3,4.07753744390572
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,3,1.9459101490553128
퓨처플레이,3,4.465908118654584
퓨처플레이,3,1.9459101490553128
대경지역대학공동기술지주,1,0.6931471805599453
대경지역대학공동기술지주,3,1.9459101490553128
캡스톤파트너스,2,3.295836866004329
캡스톤파트너스,3,1.9459101490553128
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,3,0.6931471805599453
더인벤션랩,3,4.465908118654584
더인벤션랩,3,0.6931471805599453
더인벤션랩,1,0.1823215567939546
네오플라이,1,0.4054651081081644
네오플라이,3,0.6931471805599453
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,5,5.525452939131784
하나벤처스,3,3.713572066704308
하나벤처스,5,5.525452939131784
디에스씨인베스트먼트,5,4.997212273764115
디에스씨인베스트먼트,5,5.525452939131784
신한대체투자운용,3,3.713572066704308
신한대체투자운용,5,4.997212273764115
신한대체투자운용,5,5.525452939131784
